Galaxy,acm_cpp,mond_cpp,delta_cpp_mond_minus_acm,n_points,n_valid_mond,T,D,e_D,distance_rel_err,distance_rel_err_pct,f_D,Inc,e_Inc,L3.6,e_L3.6,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Qual,Ref,ba_obs,geometry_source,inc_true_deg,k_inc,velocity_shift_pct,correction_source_used,geometry_qc_flag,geometry_qc_reason,geometry_mode,is_proxy_fallback
NGC0024,11.60662296513288,1.111074740589926,-10.495548224542954,29,29,5,7.3,0.36,0.049315068493150684,4.931506849315069,2,64.0,3.0,3.889,0.036,2.01,151.65,1.34,1182.58,0.676,7.29,106.3,7.9,1,"Di08,Ch06",0.2754228703338166,hyperleda_vizier,77.38682149534843,0.9210214612111892,-7.897853878881078,hyperleda_vizier,review,large_inclination_delta,real_ba_obs,False
UGC12506,13.1976125472583,3.0654991119327804,-10.132113435325518,31,31,6,100.6,10.1,0.10039761431411531,10.03976143141153,1,86.0,4.0,139.571,3.214,12.36,144.82,7.38,5608.28,35.556,59.01,234.0,16.8,2,Ha14,0.1778279410038923,hyperleda_vizier,90.0,0.9975640502598242,-0.2435949740175802,hyperleda_vizier,ok,,real_ba_obs,False
F574-1,15.498385984344608,5.676126886053242,-9.822259098291363,14,14,7,96.8,9.68,0.1,10.0,1,65.0,10.0,6.537,0.596,5.87,29.98,4.46,128.48,3.524,16.19,97.8,4.1,1,"dB01,dB96",,hyperleda_not_found,68.42520153987101,0.9745891442038536,-2.541085579614633,catalog_inclination_proxy,missing,missing_ba_obs,proxy_fallback,True
F563-V2,9.572632949473793,1.6996776820939572,-7.872955267379835,10,10,10,59.7,11.9,0.19932998324958123,19.932998324958124,1,29.0,10.0,2.986,0.267,4.49,23.6,2.43,146.16,2.169,11.37,116.6,9.4,1,"dB01,dB96",,hyperleda_not_found,30.046932902306075,0.968245836551854,-3.175416344814608,catalog_inclination_proxy,missing,missing_ba_obs,proxy_fallback,True
NGC3741,10.91156365084943,3.091601071763121,-7.81996257908631,21,21,10,3.21,0.17,0.052959501557632405,5.29595015576324,2,70.0,4.0,0.028,0.001,0.32,42.94,0.2,143.49,0.182,4.2,50.1,2.1,1,"Ge07,Bm05",0.7762471166286917,hyperleda_vizier,40.62489186276407,1.4432296462968075,44.32296462968075,hyperleda_vizier,review,large_velocity_shift;large_inclination_delta,real_ba_obs,False
NGC4214,8.352857622309148,1.233487852138137,-7.119369770171011,14,14,10,2.87,0.14,0.04878048780487805,4.878048780487805,2,15.0,10.0,1.141,0.008,0.7,363.77,0.51,1308.67,0.486,5.84,80.1,5.8,2,Le14,0.8128305161640993,hyperleda_vizier,36.98483937191033,0.4302151953992729,-56.97848046007271,hyperleda_vizier,review,large_velocity_shift;large_inclination_delta;faceon_sensitive,real_ba_obs,False
F563-1,7.91411022920365,1.3840760542753887,-6.530034174928261,17,17,9,48.9,9.8,0.20040899795501024,20.040899795501023,1,25.0,5.0,1.903,0.17,4.61,14.22,3.52,41.77,3.2,23.47,109.9,12.5,1,"KN08,dB96",,hyperleda_not_found,25.879395464485174,0.9682458365518544,-3.1754163448145523,catalog_inclination_proxy,missing,missing_ba_obs,proxy_fallback,True
UGC07524,27.29248938220124,21.12593247850145,-6.166556903699782,31,31,9,4.74,0.24,0.05063291139240506,5.063291139240507,2,46.0,3.0,2.436,0.025,3.61,29.71,3.46,106.86,1.779,12.11,79.5,3.6,1,"Sw09,Sw02",0.3715352290971725,hyperleda_vizier,73.50951188899951,0.750197781628335,-24.980221837166503,hyperleda_vizier,review,large_velocity_shift;large_inclination_delta,real_ba_obs,False
ESO563-G021,31.51726919140576,25.773398669048422,-5.743870522357334,30,30,4,60.8,9.1,0.14967105263157895,14.967105263157896,1,83.0,3.0,311.177,2.579,10.59,429.37,5.45,6558.89,24.298,55.71,314.6,11.7,1,SG06,0.165958690743756,hyperleda_vizier,85.42514298825088,0.995718534782276,-0.4281465217723879,hyperleda_vizier,ok,,real_ba_obs,False
F579-V1,7.626452884951881,2.710965094119458,-4.915487790832423,14,14,5,89.5,8.95,0.09999999999999999,10.0,1,26.0,10.0,11.848,0.742,5.76,56.6,3.37,201.76,2.245,20.96,112.1,13.4,1,"dB01,dB96",,hyperleda_not_found,26.42353388444352,0.9850969495435464,-1.490305045645368,catalog_inclination_proxy,missing,missing_ba_obs,proxy_fallback,True
UGC05005,11.156072525912144,6.840750550968107,-4.3153219749440375,11,11,10,53.7,10.7,0.19925512104283052,19.92551210428305,1,41.0,10.0,4.1,0.283,5.02,25.63,3.2,65.59,3.093,21.61,98.9,7.2,1,"dB02,VH93",0.8709635899560807,hyperleda_vizier,30.49489417243797,1.2928250280100044,29.282502801000444,hyperleda_vizier,review,large_velocity_shift;large_inclination_delta,real_ba_obs,False
UGC06399,7.626170280439273,3.716348450458761,-3.909821829980512,9,9,9,18.0,2.5,0.1388888888888889,13.88888888888889,4,75.0,2.0,2.296,0.072,3.45,30.82,2.05,311.05,0.674,8.8,85.0,3.8,1,"VS01,SV98",0.2691534803926916,hyperleda_vizier,84.08874822543012,0.9710894863702564,-2.8910513629743617,hyperleda_vizier,ok,,real_ba_obs,False
UGCA444,5.675067478038688,2.3785959495025093,-3.2964715285361788,36,36,10,0.98,0.05,0.05102040816326531,5.1020408163265305,2,78.0,4.0,0.012,0.0,0.41,11.94,0.83,22.74,0.067,2.08,37.0,4.8,2,Ke07,0.3311311214825911,hyperleda_vizier,77.04083454289848,1.003712005698086,0.371200569808594,hyperleda_vizier,ok,,real_ba_obs,False
UGC07603,6.834560023321274,3.63004877111533,-3.204511252205944,12,12,7,4.7,1.41,0.3,30.0,1,78.0,3.0,0.376,0.008,0.85,81.81,0.53,520.99,0.258,4.37,61.6,2.8,1,"Sw09,Sw02",0.3311311214825911,hyperleda_vizier,75.50905899855253,1.0102876642816767,1.0287664281676712,hyperleda_vizier,ok,,real_ba_obs,False
UGC10310,10.865483946309071,9.299833046020575,-1.5656509002884975,7,7,9,15.2,4.6,0.3026315789473684,30.263157894736842,1,34.0,6.0,1.741,0.053,3.12,28.37,1.8,158.79,1.196,9.58,71.4,3.9,1,"Sw09,Sw02",0.7943282347242815,hyperleda_vizier,38.85942296267323,0.8912694205871889,-10.873057941281106,hyperleda_vizier,review,large_velocity_shift;faceon_sensitive,real_ba_obs,False
NGC0300,8.75839880155394,7.465378508142602,-1.2930202934113373,25,25,7,2.08,0.1,0.04807692307692308,4.807692307692308,2,42.0,10.0,2.922,0.008,1.77,147.51,1.75,437.35,0.936,9.2,93.3,7.0,2,"Sa96,CP90",0.6456542290346555,hyperleda_vizier,51.585877016284414,0.8539836238553554,-14.601637614464458,hyperleda_vizier,review,large_velocity_shift,real_ba_obs,False
UGC12632,18.678602405658197,17.849308915902956,-0.8292934897552371,15,15,9,9.77,2.93,0.29989764585465717,29.989764585465718,1,46.0,3.0,1.301,0.03,3.94,13.09,2.42,66.81,1.744,12.6,71.7,2.8,1,"Sw09,Sw02",0.7413102413009175,hyperleda_vizier,43.88186026320149,1.0377483062902066,3.774830629020665,hyperleda_vizier,ok,,real_ba_obs,False
UGC01281,3.9518914111758408,3.3091733011506124,-0.6427181100252284,25,25,8,5.27,0.24,0.04554079696394687,4.554079696394687,2,90.0,1.0,0.353,0.009,2.01,13.83,1.63,135.78,0.294,5.26,55.2,3.5,1,"dB02,Sw02",0.1819700858609983,hyperleda_vizier,90.0,1.0,0.0,hyperleda_vizier,ok,,real_ba_obs,False
F571-V1,4.508150700581189,4.06479897002139,-0.4433517305597991,7,7,7,80.1,8.0,0.09987515605493134,9.987515605493135,1,30.0,10.0,1.849,0.267,4.38,15.3,2.47,64.39,1.217,10.1,83.6,3.5,2,"dB97,dB96",,hyperleda_not_found,30.866315454857165,0.9745891442038538,-2.541085579614621,catalog_inclination_proxy,missing,missing_ba_obs,proxy_fallback,True
