Galaxy,distance_mode,D_nominal_mpc,e_D_mpc,D_test_mpc,distance_shift_mpc,distance_shift_sigma,acm_cpp,mond_cpp,delta_cpp_mond_minus_acm,n_valid_mond,geometry_qc_flag,geometry_qc_reason,Qual
D564-8,D_minus_eD,8.79,0.28,8.51,-0.27999999999999936,-0.9999999999999977,64.35864331702074,32.002016362063266,-32.35662695495747,6,missing,missing_ba_obs,2
D564-8,D_plus_eD,8.79,0.28,9.069999999999999,0.27999999999999936,0.9999999999999977,74.19118189810236,38.11646686801864,-36.074715030083716,6,missing,missing_ba_obs,2
UGC12732,baseline,13.2,4.0,13.2,0.0,0.0,43.39363924571548,8.027392011994321,-35.366247233721154,16,review,large_velocity_shift;large_inclination_delta;faceon_sensitive,1
UGC12732,D_minus_eD,13.2,4.0,9.2,-4.0,-1.0,82.13687405718693,2.4510288763644983,-79.68584518082243,16,review,large_velocity_shift;large_inclination_delta;faceon_sensitive,1
UGC12732,D_plus_eD,13.2,4.0,17.2,4.0,1.0,21.50874615341526,39.902232800721194,18.393486647305934,16,review,large_velocity_shift;large_inclination_delta;faceon_sensitive,1
NGC0247,baseline,3.7,0.19,3.7,0.0,0.0,87.84365392129392,44.62772133391279,-43.21593258738113,26,ok,,2
NGC0247,D_minus_eD,3.7,0.19,3.5100000000000002,-0.18999999999999995,-0.9999999999999997,99.99725745665367,31.36423765211466,-68.633019804539,26,ok,,2
NGC0247,D_plus_eD,3.7,0.19,3.89,0.18999999999999995,0.9999999999999997,77.02598238083638,59.946786664391546,-17.079195716444836,26,ok,,2
UGC06667,baseline,18.0,2.5,18.0,0.0,0.0,63.887595311004524,14.049163660408105,-49.83843165059642,9,review,large_inclination_delta,1
UGC06667,D_minus_eD,18.0,2.5,15.5,-2.5,-1.0,77.50204063578116,24.280736823201952,-53.22130381257921,9,review,large_inclination_delta,1
UGC06667,D_plus_eD,18.0,2.5,20.5,2.5,1.0,53.38016607905638,7.672527567268414,-45.70763851178796,9,review,large_inclination_delta,1
UGC04325,baseline,9.6,2.88,9.6,0.0,0.0,60.866608380038564,6.927688177527673,-53.93892020251089,8,review,large_velocity_shift;large_inclination_delta,1
UGC04325,D_minus_eD,9.6,2.88,6.72,-2.88,-1.0,109.84320993977894,32.09834735112118,-77.74486258865777,8,review,large_velocity_shift;large_inclination_delta,1
UGC04325,D_plus_eD,9.6,2.88,12.48,2.880000000000001,1.0000000000000002,37.889155105701086,14.534275794645028,-23.35487931105606,8,review,large_velocity_shift;large_inclination_delta,1
UGC08286,baseline,6.5,0.21,6.5,0.0,0.0,62.31006436679745,2.483440461586889,-59.82662390521056,17,ok,,1
UGC08286,D_minus_eD,6.5,0.21,6.29,-0.20999999999999996,-0.9999999999999999,68.17973114005105,3.0795673325443618,-65.10016380750669,17,ok,,1
UGC08286,D_plus_eD,6.5,0.21,6.71,0.20999999999999996,0.9999999999999999,56.99965858271004,2.5639876217496713,-54.435670960960366,17,ok,,1
NGC2841,baseline,14.1,1.4,14.1,0.0,0.0,71.75774364441476,2.58015610866254,-69.17758753575222,50,review,large_velocity_shift;large_inclination_delta,1
NGC2841,D_minus_eD,14.1,1.4,12.7,-1.4000000000000004,-1.0000000000000002,115.38755863111359,14.0683469687051,-101.31921166240849,50,review,large_velocity_shift;large_inclination_delta,1
NGC2841,D_plus_eD,14.1,1.4,15.5,1.4000000000000004,1.0000000000000002,40.81321089151722,5.772066827814455,-35.04114406370277,50,review,large_velocity_shift;large_inclination_delta,1
NGC7814,baseline,14.4,0.66,14.4,0.0,0.0,104.83868246886998,23.445275949217198,-81.39340651965279,18,review,large_velocity_shift;large_inclination_delta,1
NGC7814,D_minus_eD,14.4,0.66,13.74,-0.6600000000000001,-1.0000000000000002,122.02101109077779,14.452277014386084,-107.5687340763917,18,review,large_velocity_shift;large_inclination_delta,1
NGC7814,D_plus_eD,14.4,0.66,15.06,0.6600000000000001,1.0000000000000002,90.29668845348519,35.772541400893,-54.52414705259219,18,review,large_velocity_shift;large_inclination_delta,1
UGC07399,baseline,8.43,2.53,8.43,0.0,0.0,122.44629799140925,33.40664662913275,-89.0396513622765,10,review,large_velocity_shift,1
UGC07399,D_minus_eD,8.43,2.53,5.9,-2.5299999999999994,-0.9999999999999998,191.10939572500655,87.82576442643358,-103.28363129857297,10,review,large_velocity_shift,1
UGC07399,D_plus_eD,8.43,2.53,10.959999999999999,2.5299999999999994,0.9999999999999998,75.85748620294001,8.009059867428519,-67.84842633551149,10,review,large_velocity_shift,1
UGC02259,baseline,10.5,3.1,10.5,0.0,0.0,99.41364329275156,5.616573582884248,-93.79706970986732,8,review,large_velocity_shift,2
UGC02259,D_minus_eD,10.5,3.1,7.4,-3.0999999999999996,-0.9999999999999999,211.9938005631326,57.81393339438442,-154.17986716874816,8,review,large_velocity_shift,2
UGC02259,D_plus_eD,10.5,3.1,13.6,3.0999999999999996,0.9999999999999999,58.686449029464214,39.92342691016477,-18.763022119299443,8,review,large_velocity_shift,2
